Model,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_weighted,recall_weighted,f1_BearishEngulfing,f1_BullishEngulfing,f1_Doji,f1_Hammer,f1_SpinningTop
CNN,0.9593647320926102,0.9460302305403228,0.9463512162612463,0.96266626847391,0.9567188221650902,0.9466806552525935,0.9463512162612463,0.9916826615483045,0.9935581659719591,0.9416943846605361,0.9586776859504132,0.9112107623318386
ViT,0.9557221007989399,0.9442392916259174,0.9443518827057648,0.9575721396318004,0.9540160812536259,0.944216602430462,0.9443518827057648,0.9888143176733781,0.9897688518378174,0.940521185597772,0.9480030143180106,0.9115031345677213
